nama,starclick_profile
MGR PRM & PLM OPERATION,Create and list opportunity|Dashboard Report Agent|Invalid Survey SCBE|Management User|Mass Order|MYDIGIBIZ - Inputer|MYWIFI - Inputer|NEWINDISOL - Inputer|report plasa organik|SC Backend - Inputer|SC Frontend - Management|SC Frontend - Supervisor|SCFE - Input Service Request All|SCFE Inputer - DCS|System Administrator|Tools|Tools untuk monitoring dan terminate session|UHOS - Inputer
Mgr Program Provisioning & Migration East,SC Backend - Viewer|SC Frontend - Viewer
MGR PROJECT OPERATION&QUALITY ASSURANCE,Invalid Survey SCBE|MYWIFI - Inputer|SC Backend - Inputer|SC Frontend - Management|SCFE Inputer - DCS|Tools
MGR PROV & MIG SEMARANG,SC Frontend - Viewer
"MGR QUALITY,CHANGE,RISK MGMT&REV ASSURAN",Create and list opportunity|Invalid Survey SCBE|MYDIGIBIZ - Inputer|MYWIFI - Inputer|NEWINDISOL - Inputer|SC Backend - Inputer|SCFE Inputer - DCS|Tools|UHOS - Inputer
MGR REGIONAL BUSINESS SERVICE,Approval Order SCBE|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SC Frontend - Management|SCFE Inputer - DCS|Supervisor|UHOS - Inputer
MGR REGIONAL BUSINESS SUPPORT,Create and list opportunity|Invalid Survey SCBE|SC Backend - Inputer|SC Frontend - Management|SCFE Inputer - DCS
MGR REGIONAL GOVERNMENT SERVICE,Approval Order SCBE|MYWIFI - Inputer|SCFE Inputer - DCS
MGR REGIONAL WHOLESALE SUPPORT,SC Backend - Viewer|SC Frontend - Viewer
MGR REVENUE ASSURANCE,Invalid Survey SCBE|Monitoring Deposit|SC Backend - Inputer|SC Frontend - Inputer
MGR SERVICE DESK,Dashboard user|SC Backend - Viewer|SC Frontend - Viewer|User Revoke
MGR SHARED SERVICE & GENERAL SUPPORT,Approval Order SCBE|Crl Task|Dashboard Report Agent|Invalid Survey SCBE|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Backend - Viewer|SC Frontend - Supervisor|SC Frontend - Viewer|SCFE - Inbox Service Request|SCFE - Input Service Request All|SCFE Inputer - DCS|Supervisor|Tools|User Revoke
MGR SPBU & PROJECT SOLUTION YOGYAKARTA,SC Frontend - Viewer
MGR WIFI & FBB LEGACY,Approval Order SCBE|Create and list opportunity|Invalid Survey SCBE|NEWINDISOL - Inputer|Profile khusu approval scbe|report plasa organik|SC Backend - Inputer|SC Frontend - Inputer|SCFE Inputer - DCS|UHOS - Inputer
